,title,premiere year,rating,time,genre,star,plot
12,Loeki de leeuw,1972,8.0,1 min,Animation,Joop Geesink,"Loeki ""the lion"" was an animated puppet, which appeared (between 1972 and 2004) in one or more ultra-short sketches, often even without any text or just an exclamation, rather like a ...                See full summary »"
13,Dyke Blend,1996,4.2,1 min,Comedy," Fay Masterson, Audrey Tom",A humorous and passionate parody inspired by a well-known coffee advert.
14,L'ours Maturin et la famille Wallace,1993,7.4,1 min,Comedy," Jean-Alexandre Blanchet, Laurent Deshusses, Vanessa Larré, Farney Dougoud",Add a Plot
15,Le journul,1999,6.3,1 min,Comedy,François Pérusse,Add a Plot
16,Purple and Brown,2006,7.5,1 min,"Animation, Comedy"," Richard Webber, Percy",The adventures of two clay blobs.
17,Avez-vous déjà vu..?,2006,7.5,1 min,"Animation, Comedy"," Alain Chabat, Marie Vincent, Karine Lyachenko, François Jerosme",Add a Plot
18,Lascars,1998,7.5,1 min,"Animation, Comedy"," Saïd Taghmaoui, Kader Ayd, Hocine Ossoukine, Doudou Masta",Cult animation series focused on troubles and tribulations of inner city youth in a sharp humorous way.
19,Tardisodes,2006,7.2,1 min,"Short, Sci-Fi"," Robert Booth, Noel Clarke, Silas Carson, Ruari Mears",Prologues to each episode of the second season of Doctor Who (2005).
20,La coccinelle de Gotlib,1995,4.4,1 min,"Animation, Comedy",,Add a Plot
21,Suicidal Squirrels,2007,5.0,1 min,"Animation, Short, Comedy",Robert Missler,Add a Plot
22,Snipets,1972,7.7,1 min,Family,,"""Snipets"" were a unique series of one-minute instructional shorts designed for use within general entertainment programs for children. Each sixty-second segment emphasized a positive human ...                See full summary »"
23,Prom Queen,2007,6.1,1 min,Drama," Katy Stoll, Sean Hankinson, Alexandra French, David Loren",A serialized mystery.
24,Big Chibi 6: The Shorts,2018,6.8,1 min,"Animation, Short, Comedy"," Genesis Rodriguez, Jamie Chung, Khary Payton, Ryan Potter",Add a Plot
25,No Comment,1993,7.2,1 min,News,Sharon Stone,Add a Plot
26,Star Wars Blips,2017,6.1,1 min,"Animation, Comedy",,"A series of animated YouTube shorts featuring comedic looks at BB-8, R2-D2, Chewbacca, and porgs, in promotion for the release of Star Wars: Episode VIII The Last Jedi."
27,Igor Katamaranov,2019,8.5,1 min,Comedy,Anton Lapenko,Short sketches parodying Russian regional TV.
28,ShKYa,2019,6.2,1 min,"Animation, Drama, Horror",,"Weird and mysterious scenes from ordinary life of a Russian boy, his family and office workers."
29,Faiabôru,2008,6.9,1 min,"Animation, Comedy, Sci-Fi"," Tôru Ohkawa, Miyuki Kawasho, Daisuke Gôri","In the distant future, gynoid duchess Drossel von Flügel lives in a manor with her arachnoid servant Gedächtnis."
30,Owl Pellets,2020,8.0,1 min,"Animation, Short, Comedy"," Sarah-Nicole Robles, Alex Hirsch, Wendie Malick, Bumper Robinson","Owl Pellets is a series of shorts about Luz, Eda, and King's antics with magic and the exploration of the Boiling Isles."
31,Train Guy,2019,9.8,1 min,Comedy," Bob Mortimer, Matt Berry","A commuter's video conversations with work colleagues documenting the details of business, banter and life in the 21st century."
32,Weather Report,2005,9.2,1 min,"Comedy, News"," David Lynch, Laura Dern, Emily Stofle, Lula Lynch",David Lynch gives daily weather reports in Los Angeles.
33,Fury Files,2012,5.2,1 min,"Animation, Action, Adventure",Chi McBride,Add a Plot
34,Cueio,2013,8.6,1 min,Animation," Ronaldo de Azevedo, Marcio Philomena",Add a Plot
35,CUEIO,2019,6.0,1 min,Animation," Vittor Ottoni, Ronaldo de Azevedo, Marcio Philomena",Add a Plot
36,S&P Videos,2018,4.8,1 min,"Comedy, Drama, Musical"," Amir Mohammad Jarban, Pouya Shahrokhfar, Sasy Mankan, Hamid Ghafarpour",Add a Plot
37,The Imp,2006,8.3,1 min,"Animation, Comedy, Fantasy"," Julian Rhind-Tutt, Stephen Mangan, Gavin Mitchell, Helen McAlpine","Short, cute and impossibly evil. A delightful comedy, packed with high doses of evil. The Imp is a light-hearted look at trying to square a career spreading the evil -with the mundane ...                See full summary »"
38,Dabox,1999,6.7,1 min,Comedy," Séverin Bavarel, Virgile Bramly, Justine Bruneau, Claire Pérot",Add a Plot
39,Drawn Dreams,2015,7.0,1 min,"Animation, Fantasy, Mystery",Coldmirror,Add a Plot
40,Axmo Deus,2020,9.2,1 min,Horror," Ken Fletcher, Noel Vinson, David MacPhail, Deirdre Campbell","You have officially been marked. Axmo Deus is an anthology series composed of 1-Minute films that run the spectrum from paranormal horror, gore and every bloodcurdling thing in between. There is safety in fear."
41,The Crystal Gems Say Be Anti-Racist,2020,6.4,1 min,"Animation, Family"," Deedee Magno, Estelle, Talia Cuomo, Michaela Dietz",A series of shorts in which the Crystal Gems educate children against racism.
42,Sidetalk,2019,9.7,1 min,Comedy,Trent Simonian,New York's one-minute street show
43,Today's Number Is...,2020,8.7,1 min,"Game-Show, Mystery, News",David Lynch,10 balls. Each ball has a number. Numbers 1 through 10. Swirl the numbers. Pick a number.
44,The Bartender Hates You,2009,7.0,1 min,"Short, Comedy"," Alan Stephens, David Martel, Bert Rotundo, Natalia Fedner","Generation Awesome, having spent time in the trenches of the Hollywood bar scene, have gathered their favorite war stories and brought them to life, THE BARTENDER HATES YOU. Join us as we ...                See full summary »"
45,Gloomy the Naughty Grizzly,2021,4.9,1 min,"Animation, Comedy"," Natsuki Hanae, Kôichi Yamadera","Gloomy, a bear was rescued by a little boy named Pity. At first, the bear was very cute but he was getting wilder as he grow up and forgot that he shouldn't attack humans. That's why he started attacking his owner Pity."
46,All About,2021,6.4,1 min,," Alex Logan, Milly Alcock, Bella Thorne, Eve Hewson","Get to know more about trending stars, movies, and shows with these short videos created by IMDb."
47,Warriors crystal: rebooted,2020,7.4,1 min,"Animation, Action, Adventure"," Heitor Victor, Frisk Dubs, Junior Nazo, Martim Barroso","3 friends were walking back school when they found powerful crystals made by an ancient god that could give them abnormal strength and other super powers, wich they used to fight the evil"
48,The Daily Bugle,2019,6.4,1 min,"Short, News"," Angourie Rice, J.K. Simmons, Tony Revolori, Tom Holland",Online news series covering the dangerous Spider-Man.
49,30-Second Bunny Theatre,2004,6.9,1 min,"Animation, Short, Comedy"," Jennifer Shiman, Douglas McInnes, John Mathot, Bryan Singer","Feature-length films re-enacted by bunnies, condensed to 30 seconds."
50,Beastly Behaviour,1994,6.0,1 min,"Animation, Short, Comedy",Rupert Farley,Comedic animation series explaining the mating habits of various creatures.
51,Bicentennial Minutes,1974,8.6,1 min,"Short, History"," Walter Cronkite, Cleveland Amory, Edward Asner, Roddy McDowall","Minute-long ""on this day in history"" shorts, used a countdown to America's bicentennial."
52,Heritage Minutes,1991,8.0,1 min,"Short, Drama, History"," Katherine Trowell, Steve Cumyn, Aidan Devine, Jean L'Italien",A series of short films illustrating interesting moments of Canadian history.
53,60 Seconds,2004,5.5,1 min,News," Tasmin Lucia-Khan, Sam Naz, Christopher Lee Johnson, James Harrod","News programme which summarizes all the day's news stories in a one minute bulletin, every hour."
54,Los pintin,1999,5.2,1 min,"Animation, Short, Adventure",,Add a Plot
55,På sofaen,2002,5.4,1 min,Animation,Gunnar Wille,"Each episode features a man lying down on a couch, unburdening his heart to an animated psychoanalyst who is sitting beside him in a soft armchair. The psychoanalyst sometimes takes a new ...                See full summary »"
56,The More You Know,1989,6.6,1 min,Family," Jason Alexander, Tatyana Ali, Jennifer Aniston, Christina Applegate","Launched in 1989, NBC's ""The More You Know"" series of brief public service announcements has utilized the talents of some of Hollywood's brightest stars (almost only actors appearing on ...                See full summary »"
57,Antivol,1977,4.8,1 min,Short," Daniel Ceccaldi, Sylvie Durepaire",Add a Plot
58,Urarochi Diamond,2001,4.6,1 min,Animation,,Add a Plot
59,La noiraude,1976,7.6,1 min,"Animation, Short, Family"," Ginette Garcin, Dominique Marcombe, Gilles Gay",Add a Plot
60,Stop for a Minute,2001,3.0,1 min,"Documentary, Animation, Short"," Jasper Pummell, Francis Pummell, Harmony Korine, Roman Coppola",Add a Plot
61,Quick & Flupke,1984,6.7,1 min,"Animation, Short, Comedy",Alain Perpète,"In these animated versions of cartoons, the eponymous rascals, naughty street-kids in the 'Marollen', a poor but colorful quarter of Brussels, spend their time playing pranks, mainly on ...                See full summary »"
62,Loeki de leeuw,1972,8.0,1 min,Animation,Joop Geesink,"Loeki ""the lion"" was an animated puppet, which appeared (between 1972 and 2004) in one or more ultra-short sketches, often even without any text or just an exclamation, rather like a ...                See full summary »"
63,Dyke Blend,1996,4.2,1 min,Comedy," Fay Masterson, Audrey Tom",A humorous and passionate parody inspired by a well-known coffee advert.
64,L'ours Maturin et la famille Wallace,1993,7.4,1 min,Comedy," Jean-Alexandre Blanchet, Laurent Deshusses, Vanessa Larré, Farney Dougoud",Add a Plot
65,Le journul,1999,6.3,1 min,Comedy,François Pérusse,Add a Plot
66,Purple and Brown,2006,7.5,1 min,"Animation, Comedy"," Richard Webber, Percy",The adventures of two clay blobs.
67,Avez-vous déjà vu..?,2006,7.5,1 min,"Animation, Comedy"," Alain Chabat, Marie Vincent, Karine Lyachenko, François Jerosme",Add a Plot
68,Lascars,1998,7.5,1 min,"Animation, Comedy"," Saïd Taghmaoui, Kader Ayd, Hocine Ossoukine, Doudou Masta",Cult animation series focused on troubles and tribulations of inner city youth in a sharp humorous way.
69,Tardisodes,2006,7.2,1 min,"Short, Sci-Fi"," Robert Booth, Noel Clarke, Silas Carson, Ruari Mears",Prologues to each episode of the second season of Doctor Who (2005).
70,La coccinelle de Gotlib,1995,4.4,1 min,"Animation, Comedy",,Add a Plot
71,Suicidal Squirrels,2007,5.0,1 min,"Animation, Short, Comedy",Robert Missler,Add a Plot
72,Snipets,1972,7.7,1 min,Family,,"""Snipets"" were a unique series of one-minute instructional shorts designed for use within general entertainment programs for children. Each sixty-second segment emphasized a positive human ...                See full summary »"
73,Prom Queen,2007,6.1,1 min,Drama," Katy Stoll, Sean Hankinson, Alexandra French, David Loren",A serialized mystery.
74,Big Chibi 6: The Shorts,2018,6.8,1 min,"Animation, Short, Comedy"," Genesis Rodriguez, Jamie Chung, Khary Payton, Ryan Potter",Add a Plot
75,No Comment,1993,7.2,1 min,News,Sharon Stone,Add a Plot
76,Star Wars Blips,2017,6.1,1 min,"Animation, Comedy",,"A series of animated YouTube shorts featuring comedic looks at BB-8, R2-D2, Chewbacca, and porgs, in promotion for the release of Star Wars: Episode VIII The Last Jedi."
77,Igor Katamaranov,2019,8.5,1 min,Comedy,Anton Lapenko,Short sketches parodying Russian regional TV.
78,ShKYa,2019,6.2,1 min,"Animation, Drama, Horror",,"Weird and mysterious scenes from ordinary life of a Russian boy, his family and office workers."
79,Faiabôru,2008,6.9,1 min,"Animation, Comedy, Sci-Fi"," Tôru Ohkawa, Miyuki Kawasho, Daisuke Gôri","In the distant future, gynoid duchess Drossel von Flügel lives in a manor with her arachnoid servant Gedächtnis."
80,Owl Pellets,2020,8.0,1 min,"Animation, Short, Comedy"," Sarah-Nicole Robles, Alex Hirsch, Wendie Malick, Bumper Robinson","Owl Pellets is a series of shorts about Luz, Eda, and King's antics with magic and the exploration of the Boiling Isles."
81,Train Guy,2019,9.8,1 min,Comedy," Bob Mortimer, Matt Berry","A commuter's video conversations with work colleagues documenting the details of business, banter and life in the 21st century."
82,Weather Report,2005,9.2,1 min,"Comedy, News"," David Lynch, Laura Dern, Emily Stofle, Lula Lynch",David Lynch gives daily weather reports in Los Angeles.
83,Fury Files,2012,5.2,1 min,"Animation, Action, Adventure",Chi McBride,Add a Plot
84,Cueio,2013,8.6,1 min,Animation," Ronaldo de Azevedo, Marcio Philomena",Add a Plot
85,CUEIO,2019,6.0,1 min,Animation," Vittor Ottoni, Ronaldo de Azevedo, Marcio Philomena",Add a Plot
86,S&P Videos,2018,4.8,1 min,"Comedy, Drama, Musical"," Amir Mohammad Jarban, Pouya Shahrokhfar, Sasy Mankan, Hamid Ghafarpour",Add a Plot
87,The Imp,2006,8.3,1 min,"Animation, Comedy, Fantasy"," Julian Rhind-Tutt, Stephen Mangan, Gavin Mitchell, Helen McAlpine","Short, cute and impossibly evil. A delightful comedy, packed with high doses of evil. The Imp is a light-hearted look at trying to square a career spreading the evil -with the mundane ...                See full summary »"
88,Dabox,1999,6.7,1 min,Comedy," Séverin Bavarel, Virgile Bramly, Justine Bruneau, Claire Pérot",Add a Plot
89,Drawn Dreams,2015,7.0,1 min,"Animation, Fantasy, Mystery",Coldmirror,Add a Plot
90,Axmo Deus,2020,9.2,1 min,Horror," Ken Fletcher, Noel Vinson, David MacPhail, Deirdre Campbell","You have officially been marked. Axmo Deus is an anthology series composed of 1-Minute films that run the spectrum from paranormal horror, gore and every bloodcurdling thing in between. There is safety in fear."
91,The Crystal Gems Say Be Anti-Racist,2020,6.4,1 min,"Animation, Family"," Deedee Magno, Estelle, Talia Cuomo, Michaela Dietz",A series of shorts in which the Crystal Gems educate children against racism.
92,Sidetalk,2019,9.7,1 min,Comedy,Trent Simonian,New York's one-minute street show
93,Today's Number Is...,2020,8.7,1 min,"Game-Show, Mystery, News",David Lynch,10 balls. Each ball has a number. Numbers 1 through 10. Swirl the numbers. Pick a number.
94,The Bartender Hates You,2009,7.0,1 min,"Short, Comedy"," Alan Stephens, David Martel, Bert Rotundo, Natalia Fedner","Generation Awesome, having spent time in the trenches of the Hollywood bar scene, have gathered their favorite war stories and brought them to life, THE BARTENDER HATES YOU. Join us as we ...                See full summary »"
95,Gloomy the Naughty Grizzly,2021,4.9,1 min,"Animation, Comedy"," Natsuki Hanae, Kôichi Yamadera","Gloomy, a bear was rescued by a little boy named Pity. At first, the bear was very cute but he was getting wilder as he grow up and forgot that he shouldn't attack humans. That's why he started attacking his owner Pity."
96,All About,2021,6.4,1 min,," Alex Logan, Milly Alcock, Bella Thorne, Eve Hewson","Get to know more about trending stars, movies, and shows with these short videos created by IMDb."
97,Warriors crystal: rebooted,2020,7.4,1 min,"Animation, Action, Adventure"," Heitor Victor, Frisk Dubs, Junior Nazo, Martim Barroso","3 friends were walking back school when they found powerful crystals made by an ancient god that could give them abnormal strength and other super powers, wich they used to fight the evil"
98,The Daily Bugle,2019,6.4,1 min,"Short, News"," Angourie Rice, J.K. Simmons, Tony Revolori, Tom Holland",Online news series covering the dangerous Spider-Man.
99,30-Second Bunny Theatre,2004,6.9,1 min,"Animation, Short, Comedy"," Jennifer Shiman, Douglas McInnes, John Mathot, Bryan Singer","Feature-length films re-enacted by bunnies, condensed to 30 seconds."
100,Beastly Behaviour,1994,6.0,1 min,"Animation, Short, Comedy",Rupert Farley,Comedic animation series explaining the mating habits of various creatures.
101,Bicentennial Minutes,1974,8.6,1 min,"Short, History"," Walter Cronkite, Cleveland Amory, Edward Asner, Roddy McDowall","Minute-long ""on this day in history"" shorts, used a countdown to America's bicentennial."
102,Heritage Minutes,1991,8.0,1 min,"Short, Drama, History"," Katherine Trowell, Steve Cumyn, Aidan Devine, Jean L'Italien",A series of short films illustrating interesting moments of Canadian history.
103,60 Seconds,2004,5.5,1 min,News," Tasmin Lucia-Khan, Sam Naz, Christopher Lee Johnson, James Harrod","News programme which summarizes all the day's news stories in a one minute bulletin, every hour."
104,Los pintin,1999,5.2,1 min,"Animation, Short, Adventure",,Add a Plot
105,På sofaen,2002,5.4,1 min,Animation,Gunnar Wille,"Each episode features a man lying down on a couch, unburdening his heart to an animated psychoanalyst who is sitting beside him in a soft armchair. The psychoanalyst sometimes takes a new ...                See full summary »"
106,The More You Know,1989,6.6,1 min,Family," Jason Alexander, Tatyana Ali, Jennifer Aniston, Christina Applegate","Launched in 1989, NBC's ""The More You Know"" series of brief public service announcements has utilized the talents of some of Hollywood's brightest stars (almost only actors appearing on ...                See full summary »"
107,Antivol,1977,4.8,1 min,Short," Daniel Ceccaldi, Sylvie Durepaire",Add a Plot
108,Urarochi Diamond,2001,4.6,1 min,Animation,,Add a Plot
109,La noiraude,1976,7.6,1 min,"Animation, Short, Family"," Ginette Garcin, Dominique Marcombe, Gilles Gay",Add a Plot
110,Stop for a Minute,2001,3.0,1 min,"Documentary, Animation, Short"," Jasper Pummell, Francis Pummell, Harmony Korine, Roman Coppola",Add a Plot
111,Quick & Flupke,1984,6.7,1 min,"Animation, Short, Comedy",Alain Perpète,"In these animated versions of cartoons, the eponymous rascals, naughty street-kids in the 'Marollen', a poor but colorful quarter of Brussels, spend their time playing pranks, mainly on ...                See full summary »"
112,Loeki de leeuw,1972,8.0,1 min,Animation,Joop Geesink,"Loeki ""the lion"" was an animated puppet, which appeared (between 1972 and 2004) in one or more ultra-short sketches, often even without any text or just an exclamation, rather like a ...                See full summary »"
113,Dyke Blend,1996,4.2,1 min,Comedy," Fay Masterson, Audrey Tom",A humorous and passionate parody inspired by a well-known coffee advert.
114,L'ours Maturin et la famille Wallace,1993,7.4,1 min,Comedy," Jean-Alexandre Blanchet, Laurent Deshusses, Vanessa Larré, Farney Dougoud",Add a Plot
115,Le journul,1999,6.3,1 min,Comedy,François Pérusse,Add a Plot
116,Purple and Brown,2006,7.5,1 min,"Animation, Comedy"," Richard Webber, Percy",The adventures of two clay blobs.
117,Avez-vous déjà vu..?,2006,7.5,1 min,"Animation, Comedy"," Alain Chabat, Marie Vincent, Karine Lyachenko, François Jerosme",Add a Plot
118,Lascars,1998,7.5,1 min,"Animation, Comedy"," Saïd Taghmaoui, Kader Ayd, Hocine Ossoukine, Doudou Masta",Cult animation series focused on troubles and tribulations of inner city youth in a sharp humorous way.
119,Tardisodes,2006,7.2,1 min,"Short, Sci-Fi"," Robert Booth, Noel Clarke, Silas Carson, Ruari Mears",Prologues to each episode of the second season of Doctor Who (2005).
120,La coccinelle de Gotlib,1995,4.4,1 min,"Animation, Comedy",,Add a Plot
121,Suicidal Squirrels,2007,5.0,1 min,"Animation, Short, Comedy",Robert Missler,Add a Plot
122,Snipets,1972,7.7,1 min,Family,,"""Snipets"" were a unique series of one-minute instructional shorts designed for use within general entertainment programs for children. Each sixty-second segment emphasized a positive human ...                See full summary »"
123,Prom Queen,2007,6.1,1 min,Drama," Katy Stoll, Sean Hankinson, Alexandra French, David Loren",A serialized mystery.
124,Big Chibi 6: The Shorts,2018,6.8,1 min,"Animation, Short, Comedy"," Genesis Rodriguez, Jamie Chung, Khary Payton, Ryan Potter",Add a Plot
125,No Comment,1993,7.2,1 min,News,Sharon Stone,Add a Plot
126,Star Wars Blips,2017,6.1,1 min,"Animation, Comedy",,"A series of animated YouTube shorts featuring comedic looks at BB-8, R2-D2, Chewbacca, and porgs, in promotion for the release of Star Wars: Episode VIII The Last Jedi."
127,Igor Katamaranov,2019,8.5,1 min,Comedy,Anton Lapenko,Short sketches parodying Russian regional TV.
128,ShKYa,2019,6.2,1 min,"Animation, Drama, Horror",,"Weird and mysterious scenes from ordinary life of a Russian boy, his family and office workers."
129,Faiabôru,2008,6.9,1 min,"Animation, Comedy, Sci-Fi"," Tôru Ohkawa, Miyuki Kawasho, Daisuke Gôri","In the distant future, gynoid duchess Drossel von Flügel lives in a manor with her arachnoid servant Gedächtnis."
130,Owl Pellets,2020,8.0,1 min,"Animation, Short, Comedy"," Sarah-Nicole Robles, Alex Hirsch, Wendie Malick, Bumper Robinson","Owl Pellets is a series of shorts about Luz, Eda, and King's antics with magic and the exploration of the Boiling Isles."
131,Train Guy,2019,9.8,1 min,Comedy," Bob Mortimer, Matt Berry","A commuter's video conversations with work colleagues documenting the details of business, banter and life in the 21st century."
132,Weather Report,2005,9.2,1 min,"Comedy, News"," David Lynch, Laura Dern, Emily Stofle, Lula Lynch",David Lynch gives daily weather reports in Los Angeles.
133,Fury Files,2012,5.2,1 min,"Animation, Action, Adventure",Chi McBride,Add a Plot
134,Cueio,2013,8.6,1 min,Animation," Ronaldo de Azevedo, Marcio Philomena",Add a Plot
135,CUEIO,2019,6.0,1 min,Animation," Vittor Ottoni, Ronaldo de Azevedo, Marcio Philomena",Add a Plot
136,S&P Videos,2018,4.8,1 min,"Comedy, Drama, Musical"," Amir Mohammad Jarban, Pouya Shahrokhfar, Sasy Mankan, Hamid Ghafarpour",Add a Plot
137,The Imp,2006,8.3,1 min,"Animation, Comedy, Fantasy"," Julian Rhind-Tutt, Stephen Mangan, Gavin Mitchell, Helen McAlpine","Short, cute and impossibly evil. A delightful comedy, packed with high doses of evil. The Imp is a light-hearted look at trying to square a career spreading the evil -with the mundane ...                See full summary »"
138,Dabox,1999,6.7,1 min,Comedy," Séverin Bavarel, Virgile Bramly, Justine Bruneau, Claire Pérot",Add a Plot
139,Drawn Dreams,2015,7.0,1 min,"Animation, Fantasy, Mystery",Coldmirror,Add a Plot
140,Axmo Deus,2020,9.2,1 min,Horror," Ken Fletcher, Noel Vinson, David MacPhail, Deirdre Campbell","You have officially been marked. Axmo Deus is an anthology series composed of 1-Minute films that run the spectrum from paranormal horror, gore and every bloodcurdling thing in between. There is safety in fear."
141,The Crystal Gems Say Be Anti-Racist,2020,6.4,1 min,"Animation, Family"," Deedee Magno, Estelle, Talia Cuomo, Michaela Dietz",A series of shorts in which the Crystal Gems educate children against racism.
142,Sidetalk,2019,9.7,1 min,Comedy,Trent Simonian,New York's one-minute street show
143,Today's Number Is...,2020,8.7,1 min,"Game-Show, Mystery, News",David Lynch,10 balls. Each ball has a number. Numbers 1 through 10. Swirl the numbers. Pick a number.
144,The Bartender Hates You,2009,7.0,1 min,"Short, Comedy"," Alan Stephens, David Martel, Bert Rotundo, Natalia Fedner","Generation Awesome, having spent time in the trenches of the Hollywood bar scene, have gathered their favorite war stories and brought them to life, THE BARTENDER HATES YOU. Join us as we ...                See full summary »"
145,Gloomy the Naughty Grizzly,2021,4.9,1 min,"Animation, Comedy"," Natsuki Hanae, Kôichi Yamadera","Gloomy, a bear was rescued by a little boy named Pity. At first, the bear was very cute but he was getting wilder as he grow up and forgot that he shouldn't attack humans. That's why he started attacking his owner Pity."
146,All About,2021,6.4,1 min,," Alex Logan, Milly Alcock, Bella Thorne, Eve Hewson","Get to know more about trending stars, movies, and shows with these short videos created by IMDb."
147,Warriors crystal: rebooted,2020,7.4,1 min,"Animation, Action, Adventure"," Heitor Victor, Frisk Dubs, Junior Nazo, Martim Barroso","3 friends were walking back school when they found powerful crystals made by an ancient god that could give them abnormal strength and other super powers, wich they used to fight the evil"
148,The Daily Bugle,2019,6.4,1 min,"Short, News"," Angourie Rice, J.K. Simmons, Tony Revolori, Tom Holland",Online news series covering the dangerous Spider-Man.
149,30-Second Bunny Theatre,2004,6.9,1 min,"Animation, Short, Comedy"," Jennifer Shiman, Douglas McInnes, John Mathot, Bryan Singer","Feature-length films re-enacted by bunnies, condensed to 30 seconds."
150,Beastly Behaviour,1994,6.0,1 min,"Animation, Short, Comedy",Rupert Farley,Comedic animation series explaining the mating habits of various creatures.
151,Bicentennial Minutes,1974,8.6,1 min,"Short, History"," Walter Cronkite, Cleveland Amory, Edward Asner, Roddy McDowall","Minute-long ""on this day in history"" shorts, used a countdown to America's bicentennial."
152,Heritage Minutes,1991,8.0,1 min,"Short, Drama, History"," Katherine Trowell, Steve Cumyn, Aidan Devine, Jean L'Italien",A series of short films illustrating interesting moments of Canadian history.
153,60 Seconds,2004,5.5,1 min,News," Tasmin Lucia-Khan, Sam Naz, Christopher Lee Johnson, James Harrod","News programme which summarizes all the day's news stories in a one minute bulletin, every hour."
154,Los pintin,1999,5.2,1 min,"Animation, Short, Adventure",,Add a Plot
155,På sofaen,2002,5.4,1 min,Animation,Gunnar Wille,"Each episode features a man lying down on a couch, unburdening his heart to an animated psychoanalyst who is sitting beside him in a soft armchair. The psychoanalyst sometimes takes a new ...                See full summary »"
156,The More You Know,1989,6.6,1 min,Family," Jason Alexander, Tatyana Ali, Jennifer Aniston, Christina Applegate","Launched in 1989, NBC's ""The More You Know"" series of brief public service announcements has utilized the talents of some of Hollywood's brightest stars (almost only actors appearing on ...                See full summary »"
157,Antivol,1977,4.8,1 min,Short," Daniel Ceccaldi, Sylvie Durepaire",Add a Plot
158,Urarochi Diamond,2001,4.6,1 min,Animation,,Add a Plot
159,La noiraude,1976,7.6,1 min,"Animation, Short, Family"," Ginette Garcin, Dominique Marcombe, Gilles Gay",Add a Plot
160,Stop for a Minute,2001,3.0,1 min,"Documentary, Animation, Short"," Jasper Pummell, Francis Pummell, Harmony Korine, Roman Coppola",Add a Plot
161,Quick & Flupke,1984,6.7,1 min,"Animation, Short, Comedy",Alain Perpète,"In these animated versions of cartoons, the eponymous rascals, naughty street-kids in the 'Marollen', a poor but colorful quarter of Brussels, spend their time playing pranks, mainly on ...                See full summary »"
162,Loeki de leeuw,1972,8.0,1 min,Animation,Joop Geesink,"Loeki ""the lion"" was an animated puppet, which appeared (between 1972 and 2004) in one or more ultra-short sketches, often even without any text or just an exclamation, rather like a ...                See full summary »"
163,Dyke Blend,1996,4.2,1 min,Comedy," Fay Masterson, Audrey Tom",A humorous and passionate parody inspired by a well-known coffee advert.
164,L'ours Maturin et la famille Wallace,1993,7.4,1 min,Comedy," Jean-Alexandre Blanchet, Laurent Deshusses, Vanessa Larré, Farney Dougoud",Add a Plot
165,Le journul,1999,6.3,1 min,Comedy,François Pérusse,Add a Plot
166,Purple and Brown,2006,7.5,1 min,"Animation, Comedy"," Richard Webber, Percy",The adventures of two clay blobs.
167,Avez-vous déjà vu..?,2006,7.5,1 min,"Animation, Comedy"," Alain Chabat, Marie Vincent, Karine Lyachenko, François Jerosme",Add a Plot
168,Lascars,1998,7.5,1 min,"Animation, Comedy"," Saïd Taghmaoui, Kader Ayd, Hocine Ossoukine, Doudou Masta",Cult animation series focused on troubles and tribulations of inner city youth in a sharp humorous way.
169,Tardisodes,2006,7.2,1 min,"Short, Sci-Fi"," Robert Booth, Noel Clarke, Silas Carson, Ruari Mears",Prologues to each episode of the second season of Doctor Who (2005).
170,La coccinelle de Gotlib,1995,4.4,1 min,"Animation, Comedy",,Add a Plot
